index,INVC_CONT
32000,4.096741499092236
32001,4.06229153213287
32002,4.11534709468059
32003,4.54088534732662
32004,4.19410752823023
32005,4.9673453032672095
32006,4.2254502397632985
32007,3.8632123143762063
32008,4.379122453274131
32009,4.440992300918489
32010,4.722154048777541
32011,4.174514496300919
32012,4.4736434485142915
32013,4.937684581367455
32014,4.512503269372518
32015,3.904519498170489
32016,3.8792593215069067
32017,3.783614845270138
32018,4.074888796942529
32019,3.7957281229031956
32020,4.163622332695474
32021,4.163622332695474
32022,4.259962491985138
32023,4.135878884992663
32024,4.26083628361467
32025,4.174514496300919
32026,4.650126214393439
32027,4.462549605310473
32028,4.462549605310473
32029,4.472927411918609
32030,4.926958876932002
32031,4.27805524405099
32032,4.239209512680869
32033,4.597351007345603
32034,4.115961784985045
32035,5.508950226583978
32036,5.073293112057655
32037,4.597351007345603
32038,4.462549605310473
32039,4.776796732794791
32040,4.937684581367455
32041,4.096741499092236
32042,3.943770185725943
32043,4.19410752823023
32044,6.085062623216505
32045,4.414871618414335
32046,4.674075252156618
32047,4.06045768585321
32048,4.979074334983556
32049,4.557616013428058
32050,5.035678584251271
32051,4.580779025017784
32052,4.838960119794271
32053,4.074888796942529
32054,4.096741499092236
32055,4.561267270410303
32056,4.434283193598991
32057,4.434283193598991
32058,4.760564898123287
32059,4.440992300918489
32060,4.06229153213287
32061,4.650126214393439
32062,4.2164325588370435
32063,6.085062623216505
32064,4.4117411780368645
32065,4.000015825679321
32066,4.302728403928492
32067,4.555574523826139
32068,4.574536885672951
32069,5.660330578839209
32070,4.876044094203467
32071,4.174514496300919
32072,5.413831465756537
32073,4.06045768585321
32074,4.2164325588370435
32075,4.550073638984163
32076,4.059057685238682
32077,4.064034726644971
32078,4.584921316418943
32079,4.11534709468059
32080,4.121884020538292
32081,4.88954057428423
32082,4.601992297754068
32083,4.52554993144916
32084,4.937684581367455
32085,4.760564898123287
32086,4.982292977321526
32087,4.115961784985045
32088,4.074888796942529
32089,3.878143825387855
32090,4.064034726644971
32091,4.26083628361467
32092,4.26083628361467
32093,4.574536885672951
32094,4.2603626861144015
32095,4.26083628361467
32096,4.11534709468059
32097,5.795118655115517
32098,3.943770185725943
32099,4.06045768585321
32100,6.275704461998302
32101,4.2254502397632985
32102,5.827249456426667
32103,4.9352506357608545
32104,4.9443765731614695
32105,4.906134534100327
32106,4.096741499092236
32107,4.06229153213287
32108,4.059057685238682
32109,4.064034726644971
32110,4.307133552823333
32111,5.284141540586993
32112,1.0878028623197429
32113,10.685500104547613
32114,6.778687925039467
32115,6.778687925039467
32116,6.778687925039467
32117,6.778687925039467
32118,3.1546122653538844
32119,4.484966208955738
32120,5.429433505003943
32121,5.089129617304815
32122,5.132327561699022
32123,5.419882188792589
32124,5.033996478871259
32125,7.592299879516467
32126,6.337338936140523
32127,5.6464622813359675
32128,3.9066302197347604
32129,4.011905442203815
32130,4.011905442203815
32131,4.613420954729639
32132,5.028051942703408
32133,5.185033403597892
32134,27.039699987984516
32135,3.7314125448136264
32136,4.94715374732998
32137,3.8109979296221184
32138,5.21884108446731
32139,5.21884108446731
32140,3.606911209618249
32141,4.457623008984377
32142,6.216674794930133
32143,3.4452182243334017
32144,4.228103911908364
32145,6.0987702913991155
32146,5.6297633270381615
32147,3.8845123379867776
32148,4.084609829499499
32149,4.503817039556286
32150,4.541611883011417
32151,4.931057120220023
32152,13.81538371438528
32153,5.049385957913121
32154,5.049385957913121
32155,5.049385957913121
32156,5.049385957913121
32157,5.049385957913121
32158,5.049385957913121
32159,5.049385957913121
32160,5.049385957913121
32161,5.049385957913121
32162,5.049385957913121
32163,5.049385957913121
32164,5.508165274445904
32165,6.127299573324564
32166,4.7776250168570735
32167,5.960544026064759
32168,5.35120689656062
32169,5.191440883940122
32170,4.941087790472421
32171,6.351084676715024
32172,6.351084676715024
32173,7.257947969995731
32174,4.8399875355102635
32175,4.722132665775081
32176,4.492991197529561
32177,5.142015025129263
32178,5.989040105697255
32179,5.13378764108476
32180,3.482192971648484
32181,9.506380664461954
32182,7.449362452482957
32183,3.356131530643463
32184,4.592920961880391
32185,4.048818388646668
32186,4.048818388646668
32187,4.048818388646668
32188,3.924376227129459
32189,4.066177799915646
32190,3.8729719480866187
32191,3.8729719480866187
32192,3.8729719480866187
32193,4.177783161378072
32194,3.9467046130446253
32195,3.8880618666822695
32196,4.441543602855193
32197,4.0509070231642
32198,4.0509070231642
32199,4.320808584164189
32200,3.849786476063855
32201,3.849786476063855
32202,6.201492069664039
32203,3.9501303230952973
32204,4.066242003612145
32205,4.066242003612145
32206,4.003960575296356
32207,4.321470811399766
32208,4.060179617928157
32209,4.02369369344178
32210,3.8761304746266925
32211,3.9549557879425135
32212,3.8753562904798184
32213,4.456867796913744
32214,4.3637600434754225
32215,4.3637600434754225
32216,4.3637600434754225
32217,4.5015190060146
32218,4.240029426011072
32219,4.240029426011072
32220,4.3434465561329
32221,4.893422294962946
32222,4.24874021019734
32223,3.8580326430063487
32224,4.329441366124482
32225,4.440147447170225
32226,4.048818388646668
32227,4.037021950049129
32228,3.9042426494769407
32229,4.0509070231642
32230,3.849786476063855
32231,4.166194011460385
32232,4.083521382438583
32233,4.005077311925987
32234,3.9584946256526115
32235,3.9549557879425135
32236,3.8396759116307697
32237,4.934639796687245
32238,4.4625393990399065
32239,4.4625393990399065
32240,4.8880621465459155
32241,5.6633426743814
32242,5.0962477104587345
32243,4.582446687468926
32244,4.066242003612145
32245,3.8439043165898843
32246,3.8753562904798184
32247,3.7543310028504107
32248,3.9885330901796374
32249,5.847710814358946
32250,5.952775402150299
32251,3.8753562904798184
32252,4.642762911441431
32253,8.29182504877946
32254,6.83186560041737
32255,4.060179617928157
32256,4.02366434544451
32257,4.456867796913744
32258,4.329441366124482
32259,5.842550088495882
32260,6.5949254358651554
32261,5.339071529179505
32262,4.433763855425293
32263,3.959509363221022
32264,4.063200508232407
32265,4.533273268484297
32266,4.089953502111502
32267,5.066293806038897
32268,4.4303119380768266
32269,3.8326341716256294
32270,5.235032876975221
32271,6.454882694016068
32272,7.099440292491442
32273,4.886336976180355
32274,3.9278157605754584
32275,3.7961133767820594
32276,4.279389680926372
32277,3.8396759116307697
32278,4.390124783895078
32279,4.028656015065166
32280,5.314696458996058
32281,3.767042583405092
32282,4.701277219546511
32283,4.297800392777891
32284,3.9042426494769407
32285,4.0509070231642
32286,4.67001594019081
32287,4.441543602855193
32288,3.7961133767820594
32289,4.474116269998618
32290,6.6977589935461985
32291,5.227211958986754
32292,4.474116269998618
32293,8.853972916152118
32294,5.997397023616188
32295,3.986548369800701
32296,3.350265252941528
32297,6.375847260543208
32298,4.430596629370421
32299,3.7388257057432503
32300,4.0509070231642
32301,6.896069349553531
32302,4.101613064737
32303,4.003960575296356
32304,4.060201746868611
32305,3.6674335790536285
32306,4.952649793232992
32307,4.587419354519544
32308,3.8761708457295407
32309,4.386525257429865
32310,4.5015190060146
32311,4.060201746868611
32312,3.8753562904798184
32313,4.02369369344178
32314,4.162841861204124
32315,3.857922674023286
32316,4.58983712568602
32317,4.26083628361467
32318,4.11534709468059
32319,4.580779025017784
32320,4.359074643044717
32321,4.064034726644971
32322,4.2164325588370435
32323,4.657369306351047
32324,4.000015825679321
32325,3.904519498170489
32326,3.904519498170489
32327,4.202284973125473
32328,4.202284973125473
32329,4.074888796942529
32330,4.096741499092236
32331,4.252932552413771
32332,4.113109373397559
32333,4.163622332695474
32334,4.064034726644971
32335,4.064034726644971
32336,4.064034726644971
32337,4.0511810915029765
